,Date,Opponents,Attendance,Year,month,month_name,Day
398,2009-08-13,Halifax,1457,2009,8,August,Thursday
399,2009-08-27,Featherstone,1028,2009,8,August,Thursday
400,2009-09-03,Barrow,1283,2009,9,September,Thursday
401,2009-09-11,Featherstone,802,2009,9,September,Friday
402,2010-02-14,York,814,2010,2,February,Sunday
403,2010-02-17,Halifax,851,2010,2,February,Wednesday
404,2010-03-07,Thatto Heath,502,2010,3,March,Sunday
405,2010-03-14,Widnes,1085,2010,3,March,Sunday
406,2010-03-19,Dewsbury,835,2010,3,March,Friday
407,2010-04-11,Featherstone,2871,2010,4,April,Sunday
408,2010-04-17,Wigan,2950,2010,4,April,Saturday
409,2010-05-03,Whitehaven,1301,2010,5,May,Monday
410,2010-05-12,Batley,1170,2010,5,May,Wednesday
411,2010-05-15,Toulouse,979,2010,5,May,Saturday
412,2010-05-27,Keighley,1271,2010,5,May,Thursday
413,2010-06-24,Barrow,848,2010,6,June,Thursday
414,2010-08-08,Halifax,1473,2010,8,August,Sunday
415,2010-08-19,Leigh,1243,2010,8,August,Thursday
416,2011-02-13,Whitehaven,727,2011,2,February,Sunday
417,2011-02-27,Hunslet,854,2011,2,February,Sunday
418,2011-03-06,Leeds Met,350,2011,3,March,Sunday
419,2011-03-13,Widnes,1831,2011,3,March,Sunday
420,2011-03-26,Toulouse,1076,2011,3,March,Saturday
421,2011-04-03,Halifax,1282,2011,4,April,Sunday
422,2011-05-15,Leigh,1778,2011,5,May,Sunday
423,2011-05-29,Hunslet,907,2011,5,May,Sunday
424,2011-06-03,Dewsbury,683,2011,6,June,Friday
425,2011-06-30,Barrow,1054,2011,6,June,Thursday
426,2011-08-21,Batley,1174,2011,8,August,Sunday
427,2011-08-28,Featherstone,1336,2011,8,August,Sunday
428,2011-09-04,York,1147,2011,9,September,Sunday
429,2011-09-09,Widnes,564,2011,9,September,Friday
430,2011-09-18,Halifax,1233,2011,9,September,Sunday
431,2012-02-19,Leigh,1045,2012,2,February,Sunday
432,2012-03-02,York,725,2012,3,March,Friday
433,2012-03-11,Swinton,1815,2012,3,March,Sunday
434,2012-03-29,Halifax,1412,2012,3,March,Thursday
435,2012-05-06,Leigh,1237,2012,5,May,Sunday
436,2012-05-18,Dewsbury,1154,2012,5,May,Friday
437,2012-05-24,Batley,1117,2012,5,May,Thursday
438,2012-06-15,Hunslet,286,2012,6,June,Friday
439,2012-06-22,York,784,2012,6,June,Friday
440,2012-07-06,Halifax,671,2012,7,July,Friday
441,2012-07-20,Keighley,854,2012,7,July,Friday
442,2012-08-10,Hunslet,777,2012,8,August,Friday
443,2012-08-16,Featherstone,1449,2012,8,August,Thursday
444,2012-09-09,Batley,722,2012,9,September,Sunday
445,2013-02-08,Batley,1008,2013,2,February,Friday
446,2013-03-01,York,1011,2013,3,March,Friday
447,2013-03-14,Featherstone,1243,2013,3,March,Thursday
448,2013-03-29,Doncaster,1253,2013,3,March,Friday
449,2013-04-07,Leigh East,333,2013,4,April,Sunday
450,2013-04-14,Barrow,1177,2013,4,April,Sunday
451,2013-04-20,Dewsbury,467,2013,4,April,Saturday
452,2013-05-03,Dewsbury,904,2013,5,May,Friday
453,2013-05-10,Halifax,782,2013,5,May,Friday
454,2013-05-19,Barrow,408,2013,5,May,Sunday
455,2013-05-24,Halifax,1104,2013,5,May,Friday
456,2013-06-09,Whitehaven,1028,2013,6,June,Sunday
457,2013-06-14,Dewsbury,576,2013,6,June,Friday
458,2013-07-05,Swinton,814,2013,7,July,Friday
459,2013-07-12,London B,2459,2013,7,July,Friday
460,2013-07-26,Keighley,710,2013,7,July,Friday
461,2013-07-31,Workington,732,2013,7,July,Wednesday
462,2013-08-09,Leigh,1012,2013,8,August,Friday
463,2013-08-22,Hunslet,1184,2013,8,August,Thursday
464,2013-09-06,Halifax,773,2013,9,September,Friday
465,2013-09-15,Dewsbury,839,2013,9,September,Sunday
466,2014-03-02,Barrow,897,2014,3,March,Sunday
467,2014-03-16,East Leeds,619,2014,3,March,Sunday
468,2014-03-23,Dewsbury,911,2014,3,March,Sunday
469,2014-04-05,Skolars,505,2014,4,April,Saturday
470,2014-04-20,Doncaster,1018,2014,4,April,Sunday
471,2014-05-11,Featherstone,1279,2014,5,May,Sunday
472,2014-05-25,Leigh,1151,2014,5,May,Sunday
473,2014-06-08,Workington,712,2014,6,June,Sunday
474,2014-06-22,Keighley,743,2014,6,June,Sunday
475,2014-06-29,Halifax,955,2014,6,June,Sunday
476,2014-07-13,Crusaders,671,2014,7,July,Sunday
477,2014-07-27,Batley,763,2014,7,July,Sunday
478,2014-08-10,Swinton,600,2014,8,August,Sunday
479,2014-08-17,Whitehaven,644,2014,8,August,Sunday
480,2014-08-20,Rochdale,560,2014,8,August,Wednesday
481,2014-09-13,Batley,695,2014,9,September,Saturday
482,2015-02-22,London B,850,2015,2,February,Sunday
483,2015-03-08,Batley,1358,2015,3,March,Sunday
